,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
0,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Qualification,2024-04-08,/api/v1/category_rounds/8508/results,/api/v1/events/1353/result/3
1,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Men,Semi-final,2024-04-08,/api/v1/category_rounds/8924/results,/api/v1/events/1353/result/3
2,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Women,Qualification,2024-04-08,/api/v1/category_rounds/8509/results,/api/v1/events/1353/result/7
3,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Women,Semi-final,2024-04-08,/api/v1/category_rounds/8925/results,/api/v1/events/1353/result/7
4,IFSC World Cup Keqiao 2024,1353,2024,Keqiao,Boulder,Women,Final,2024-04-08,/api/v1/category_rounds/8927/results,/api/v1/events/1353/result/7
5,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Qualification,2024-04-12,/api/v1/category_rounds/8504/results,/api/v1/events/1354/result/1
6,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Semi-final,2024-04-12,/api/v1/category_rounds/8929/results,/api/v1/events/1354/result/1
7,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Men,Final,2024-04-12,/api/v1/category_rounds/8931/results,/api/v1/events/1354/result/1
8,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Qualification,2024-04-12,/api/v1/category_rounds/8505/results,/api/v1/events/1354/result/5
9,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Semi-final,2024-04-12,/api/v1/category_rounds/8930/results,/api/v1/events/1354/result/5
10,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Lead,Women,Final,2024-04-12,/api/v1/category_rounds/8932/results,/api/v1/events/1354/result/5
11,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Qualification,2024-04-12,/api/v1/category_rounds/8506/results,/api/v1/events/1354/result/2
12,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Men,Final,2024-04-12,/api/v1/category_rounds/8933/results,/api/v1/events/1354/result/2
13,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Women,Qualification,2024-04-12,/api/v1/category_rounds/8507/results,/api/v1/events/1354/result/6
14,IFSC World Cup Wujiang 2024,1354,2024,Wujiang,Speed,Women,Final,2024-04-12,/api/v1/category_rounds/8934/results,/api/v1/events/1354/result/6
15,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Qualification,2024-05-03,/api/v1/category_rounds/8510/results,/api/v1/events/1355/result/2
16,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Men,Final,2024-05-03,/api/v1/category_rounds/8963/results,/api/v1/events/1355/result/2
17,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Women,Qualification,2024-05-03,/api/v1/category_rounds/8511/results,/api/v1/events/1355/result/6
18,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Speed,Women,Final,2024-05-03,/api/v1/category_rounds/8964/results,/api/v1/events/1355/result/6
19,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Men,Qualification,2024-05-03,/api/v1/category_rounds/8967/results,/api/v1/events/1355/result/3
20,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Men,Semi-final,2024-05-03,/api/v1/category_rounds/8969/results,/api/v1/events/1355/result/3
21,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Men,Final,2024-05-03,/api/v1/category_rounds/8971/results,/api/v1/events/1355/result/3
22,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Qualification,2024-05-03,/api/v1/category_rounds/8968/results,/api/v1/events/1355/result/7
23,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Semi-final,2024-05-03,/api/v1/category_rounds/8970/results,/api/v1/events/1355/result/7
24,IFSC World Cup Salt Lake City 2024,1355,2024,Salt Lake CIty,Boulder,Women,Final,2024-05-03,/api/v1/category_rounds/8972/results,/api/v1/events/1355/result/7
25,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Qualification,2024-06-26,/api/v1/category_rounds/8514/results,/api/v1/events/1356/result/1
26,IFSC World Cup Innsbruck 2024,1356,2024,Innsbruck,Lead,Men,Semi-final,2024-06-26,/api/v1/category_rounds/9087/results,/api/v1/events/1356/result/1
