,event_name,event_id,year,location,discipline,gender,start_date,event_results
0,UIAA Worldcup - Konitsa (GRE) 2000,216,2000,Konitsa,Boulder,Men,2000-05-26,/api/v1/events/216/result/3
1,UIAA Worldcup - Konitsa (GRE) 2000,216,2000,Konitsa,Boulder,Women,2000-05-26,/api/v1/events/216/result/7
2,UIAA Worldcup - Millau (FRA) 2000,217,2000,Millau,Boulder,Men,2000-05-31,/api/v1/events/217/result/3
3,UIAA Worldcup - Millau (FRA) 2000,217,2000,Millau,Boulder,Women,2000-05-31,/api/v1/events/217/result/7
4,UIAA Worldcup - Chamonix (FRA) 2000,218,2000,Chamonix,Lead,Men,2000-07-11,/api/v1/events/218/result/1
5,UIAA Worldcup - Chamonix (FRA) 2000,218,2000,Chamonix,Lead,Women,2000-07-11,/api/v1/events/218/result/5
6,UIAA Worldcup - Chamonix (FRA) 2000,218,2000,Chamonix,Boulder,Men,2000-07-11,/api/v1/events/218/result/3
7,UIAA Worldcup - Chamonix (FRA) 2000,218,2000,Chamonix,Boulder,Women,2000-07-11,/api/v1/events/218/result/7
8,UIAA Worldcup - Chamonix (FRA) 2000,218,2000,Chamonix,Speed,Men,2000-07-11,/api/v1/events/218/result/2
9,UIAA Worldcup - Chamonix (FRA) 2000,218,2000,Chamonix,Speed,Women,2000-07-11,/api/v1/events/218/result/6
10,UIAA Worldcup - Beauregard (ITA) 2000,219,2000,Beauregard,Speed,Men,2000-07-21,/api/v1/events/219/result/2
11,UIAA Worldcup - Beauregard (ITA) 2000,219,2000,Beauregard,Speed,Women,2000-07-21,/api/v1/events/219/result/6
12,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Men,2000-08-03,/api/v1/events/220/result/3
13,UIAA Worldcup - München (GER) 2000,220,2000,München,Boulder,Women,2000-08-03,/api/v1/events/220/result/7
14,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Men,2000-08-31,/api/v1/events/221/result/3
15,UIAA Worldcup - Grenoble (FRA) 2000,221,2000,Grenoble,Boulder,Women,2000-08-31,/api/v1/events/221/result/7
16,UIAA Worldcup - Rovereto (ITA) 2000,222,2000,Rovereto,Boulder,Men,2000-09-15,/api/v1/events/222/result/3
17,UIAA Worldcup - Rovereto (ITA) 2000,222,2000,Rovereto,Boulder,Women,2000-09-15,/api/v1/events/222/result/7
18,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Men,2000-09-22,/api/v1/events/223/result/1
19,UIAA Worldcup - Lecco (ITA) 2000,223,2000,Lecco,Lead,Women,2000-09-22,/api/v1/events/223/result/5
20,UIAA Worldcup - Courmayeur (ITA) 2000,224,2000,Courmayeur,Lead,Men,2000-09-28,/api/v1/events/224/result/1
21,UIAA Worldcup - Courmayeur (ITA) 2000,224,2000,Courmayeur,Lead,Women,2000-09-28,/api/v1/events/224/result/5
22,UIAA Worldcup - Nantes (FRA) 2000,225,2000,Nantes,Lead,Men,2000-11-01,/api/v1/events/225/result/1
23,UIAA Worldcup - Nantes (FRA) 2000,225,2000,Nantes,Lead,Women,2000-11-01,/api/v1/events/225/result/5
24,UIAA Worldcup - Nantes (FRA) 2000,225,2000,Nantes,Speed,Men,2000-11-01,/api/v1/events/225/result/2
25,UIAA Worldcup - Nantes (FRA) 2000,225,2000,Nantes,Speed,Women,2000-11-01,/api/v1/events/225/result/6
26,UIAA Worldcup - Kranj (SLO) 2000,226,2000,Kranj,Lead,Men,2000-11-16,/api/v1/events/226/result/1
27,UIAA Worldcup - Kranj (SLO) 2000,226,2000,Kranj,Lead,Women,2000-11-16,/api/v1/events/226/result/5
