name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,Quali_time_A,Quali_time_B
KATIBIN Kiromal,INA,1,4.91,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,4.917,4.948
NURSAMSA Raharjati,INA,2,4.93,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,6.959,4.93
MAIMURATOV Amir,KAZ,3,4.99,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.141,4.995
LONG Jianguo,CHN,4,5.06,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.463,5.063
HAMMER Zach,USA,5,5.08,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.162,5.085
HOM Michael,USA,6,5.095,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNF,5.095
CARMANNS Leander,GER,7,5.098,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.098,5.125
ZURLONI Matteo,ITA,8,5.11,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.898,5.116
YANG Jie,CHN,9,5.12,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,8.632,5.121
KHAIBULLIN Rishat,KAZ,10,5.14,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.248,5.141
OMASA Ryo,JPN,11,5.161,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.228,5.161
LEONARDO Veddriq,INA,12,5.163,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.163,5.424
ALIPOUR SHENAZANDIFARD Reza,IRI,13,5.168,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.387,5.168
FOSSALI Ludovico,ITA,14,5.169,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.34,5.169
ALTYNBEKOV Beknur,KAZ,15,5.17,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.173,6.849
CHU Shouhong,CHN,16,5.182,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,7.054,5.182
NOYA CARDONA Erik,ESP,17,5.186,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.186,5.252
LI Xu,CHN,18,5.189,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNF,5.189
TKACH Yaroslav,UKR,19,5.19,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,5.265,5.195
MUHAMMAD FAJRI Alfian,INA,20,5.24,IFSC World Cup Krakow 2025,1413,2025,"Krakow, POL",Speed,Men,Qualification,2025-07-05,/api/v1/category_rounds/9403/results,/api/v1/events/1413/result/2,DNF,5.244
