name,country,round_rank,round_score,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results,P1_Top,P1_Zone,P2_Top,P2_Zone,P3_Top,P3_Zone,P4_Top,P4_Zone,P5_Top,P5_Zone
PICCOLRUAZ Michael,ITA,23.0,79.1,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,3,1,X,1,3,1,X,5,X,2
CORNU Manuel,FRA,25.0,44.9,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,2,1,X,1,X,1,X,X,X,X
RUSEV Nikolay,BUL,25.0,79.0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,6,2,1,2,1,X,2,X,3
AVEZOU Sam,FRA,27.0,75.0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,1,1,1,1,1,1,X,X
TUSNÁDY Nimród Sebestyén,HUN,27.0,44.5,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,3,1,X,4,X,X
RICHARD Samuel,FRA,29.0,74.5,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,4,4,3,2,1,1,X,X,X,X
BAUDRAND Oscar,CAN,29.0,44.4,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,5,X,3,1,1,X,X,X,X
RAMADHAN Ravianto,INA,29.0,44.4,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,3,X,1,5,4,X,X,X,X
FAN Chih-En,TPE,32.0,69.6,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,2,2,4,1,X,1,X,1
GRUBER Raffael,AUT,33.0,44.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,3,2,X,X,X,6
O'NEILL Michael,IRL,33.0,69.0,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,2,1,1,9,9,X,2
LEMAIRE Adrien,FRA,35.0,39.8,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,1,X,1,X,3,X,X,X,1
CLÉMENCE Julien,SUI,35.0,59.7,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,4,2,1,1,X,X,X,1
ROMŠAK Timotej,SLO,37.0,39.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,4,X,1,X,3,X,X,X,3
STRAUBHAAR Levin,SUI,37.0,39.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,X,1,X,1,X,4,X,5
PARE Maxim,AUS,37.0,59.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,3,3,3,1,X,X,X,4,X,X
RAMADHAN Raviandi,INA,37.0,59.3,IFSC World Cup Innsbruck 2025,1412,2025,"Innsbruck, AUT",Boulder,Men,Qualification,2025-06-25,/api/v1/category_rounds/9399/results,/api/v1/events/1412/result/3,X,X,4,3,3,1,X,X,X,3
